id,plate,startts,endts,startlng,startlat,my_id
KF5NEUHERMTQT,478947,7/26/18 6:45,7/26/18 6:50,-77.046704,38.898199,6626
YELWETKAJZUXE,695410,7/26/18 7:10,7/26/18 7:15,-77.045818,38.90965,6627
FOOMCZ4AAEG2U,232434,7/26/18 7:10,7/26/18 7:15,-77.021971,38.907035,6628
65N7XMUXMEE4R,421448,7/26/18 7:10,7/26/18 7:15,-76.993844,38.920956,6629
SBEXQ3LOLCHFB,224775,7/26/18 7:15,7/26/18 7:20,-77.017519,38.902548,6630
4Y4LUG7JQ63S2,511525,7/26/18 7:15,7/26/18 7:20,-77.048797,38.903473,6631
FOOMCZ4AAEG2U,232434,7/26/18 7:15,7/26/18 7:20,-77.026005,38.900255,6632
22EFIC5BGGP3F,924673,7/26/18 7:15,7/26/18 7:20,-77.06142,38.902585,6633
2FI5JE23VV5IL,292652,7/26/18 7:15,7/26/18 7:20,-77.036409,38.91741,6634
65N7XMUXMEE4R,421448,7/26/18 7:15,7/26/18 7:20,-76.994057,38.921706,6635
GTMW6LVAGQ6CO,661043,7/26/18 7:15,7/26/18 7:20,-77.039161,38.91411,6636
SK2FWGSCL26SV,882721,7/26/18 7:35,7/26/18 7:40,-77.024012,38.903049,6637
CRJPVW3UZMQQ2,621118,7/26/18 8:25,7/26/18 8:30,-77.04625,38.900784,6638
5GVCTW43QHZZK,900307,7/26/18 8:25,7/26/18 8:30,-77.055499,38.902612,6639
ZC66TYC3IGPMA,955753,7/26/18 8:30,7/26/18 8:35,-76.993703,38.92091,6640
CRJPVW3UZMQQ2,621118,7/26/18 8:35,7/26/18 8:40,-77.033804,38.890128,6641
KRKWO7JXPCLWS,395278,7/26/18 8:35,7/26/18 8:40,-77.030368,38.885762,6642
LUVOIJH2M2WGH,328713,7/26/18 8:35,7/26/18 8:40,-77.050201,38.89798,6643
CRJPVW3UZMQQ2,621118,7/26/18 8:45,7/26/18 8:50,-77.013945,38.887399,6644
KRKWO7JXPCLWS,395278,7/26/18 8:45,7/26/18 8:50,-77.015028,38.890325,6645
TVER3TOB55AV7,517617,7/26/18 8:45,7/26/18 8:50,-77.042748,38.910385,6646
MWNK6S7KOWCMZ,305215,7/26/18 8:50,7/26/18 8:55,-76.983696,38.914766,6647
RGU7ZMFTMOKOH,363845,7/26/18 9:00,7/26/18 9:05,-77.039342,38.889917,6648
RXZPDOLQGELV5,946602,7/26/18 9:00,7/26/18 9:05,-77.005812,38.888352,6649
YUNOLM7HDV7TS,332347,7/26/18 9:45,7/26/18 9:50,-77.041863,38.905453,6650
SCZMLZMEEJKY5,835544,7/26/18 9:45,7/26/18 9:50,-77.033499,38.898309,6651
O7UVVO24RK7LU,637241,7/26/18 10:00,7/26/18 10:05,-77.017118,38.929402,6652
5QCW36RIGKI3I,188920,7/26/18 10:05,7/26/18 10:10,-77.028527,38.897072,6653
RGU7ZMFTMOKOH,363845,7/26/18 10:05,7/26/18 10:10,-77.032122,38.888575,6654
MINDEKMSQIK5C,177440,7/26/18 10:20,7/26/18 10:25,-77.021637,38.890303,6655
NWRANMDFFJ3QB,369354,7/26/18 10:20,7/26/18 10:25,-77.018355,38.889991,6656
CQGSQUC4ICOWT,969618,7/26/18 10:20,7/26/18 10:25,-77.033215,38.895605,6657
EN555BNHT2QIJ,502410,7/26/18 10:20,7/26/18 10:25,-77.031693,38.899338,6658
XTVQY6RDEIF2Q,679300,7/26/18 11:50,7/26/18 11:55,-77.013533,38.896113,6659
EOYRMHD7AGKNZ,899701,7/26/18 12:00,7/26/18 12:05,-77.002659,38.887171,6660
HB54PT56AO7EI,670682,7/26/18 12:00,7/26/18 12:05,-77.022011,38.8865,6661
SCZMLZMEEJKY5,835544,7/26/18 12:00,7/26/18 12:05,-77.040664,38.890122,6662
ZNCJYS2WQHGNB,398605,7/26/18 12:00,7/26/18 12:05,-77.049168,38.890286,6663
ATMEZ7OENVLOU,529353,7/26/18 12:00,7/26/18 12:05,-77.002264,38.884262,6664
U5HMBRCSZMCH5,582345,7/26/18 12:00,7/26/18 12:05,-77.033017,38.897462,6665
EN555BNHT2QIJ,502410,7/26/18 12:00,7/26/18 12:05,-77.034712,38.898764,6666
OFKJACS5FBNX3,115552,7/26/18 12:00,7/26/18 12:05,-77.026678,38.899887,6667
SXKN5MF3QWUPN,671254,7/26/18 12:55,7/26/18 13:00,-77.073281,38.909808,6668
ZC66TYC3IGPMA,955753,7/26/18 12:55,7/26/18 13:00,-77.051676,38.921187,6669
BGKSPZIKI3PGQ,117110,7/26/18 13:05,7/26/18 13:10,-77.023925,38.879143,6670
VG7QAASJ6VQI4,651023,7/26/18 13:05,7/26/18 13:10,-77.028115,38.882728,6671
RGU7ZMFTMOKOH,363845,7/26/18 13:40,7/26/18 13:45,-77.04045,38.888723,6672
EN555BNHT2QIJ,502410,7/26/18 13:40,7/26/18 13:45,-77.03746,38.889935,6673
