id,plate,startts,endts,endlng,endlat,my_id
QGCMXW7P5Z5D3,827333,7/26/18 15:55,7/26/18 16:00,-77.03007,38.898322,6684
JVE35DSKKGZDS,622533,7/26/18 18:00,7/26/18 18:05,-77.004103,38.908688,6685
TOGYY4XWWLIYB,427850,7/26/18 18:00,7/26/18 18:05,-76.992065,38.889778,6686
ZDEGESBJBDO3R,988502,7/26/18 18:00,7/26/18 18:05,-77.072938,38.906736,6687
O7UVVO24RK7LU,637241,7/26/18 18:00,7/26/18 18:05,-77.042211,38.923069,6688
XPY72J5ERRJSZ,632091,7/26/18 18:00,7/26/18 18:05,-77.042352,38.923015,6689
LZHXO5LX2H2TO,820027,7/26/18 18:00,7/26/18 18:05,-77.025752,38.919267,6690
JND37EUSZN6RZ,222416,7/26/18 18:05,7/26/18 18:10,-77.047745,38.892194,6691
6ZCBHSEQTKEPA,533321,7/26/18 18:05,7/26/18 18:10,-77.050038,38.900791,6692
S33JBQ4F3NWLU,279565,7/26/18 18:05,7/26/18 18:10,-77.02286,38.878604,6693
2LL5UCQ7LYDN4,333135,7/26/18 18:25,7/26/18 18:30,-77.046827,38.89572,6694
WQ2PFGU2RANOG,217482,7/26/18 19:35,7/26/18 19:40,-77.035042,38.919551,6695
G6RRXHPQ5IDCT,928828,7/26/18 20:25,7/26/18 20:30,-77.022051,38.913773,6696
LZHXO5LX2H2TO,820027,7/26/18 20:25,7/26/18 20:30,-77.040017,38.921878,6697
5EFM2QUBWLAQQ,798620,7/26/18 21:00,7/26/18 21:05,-76.986441,38.90807,6698
CWSVF2MNIVZOB,919397,7/26/18 7:25,7/26/18 7:30,-77.027033,38.915757,26205
WONCD7LJLFDPA,184635,7/26/18 14:55,7/26/18 15:00,-77.037124,38.899153,26206
CQGSQUC4ICOWT,969618,7/26/18 15:00,7/26/18 15:05,-77.024066,38.894126,26207
CWSVF2MNIVZOB,919397,7/26/18 7:35,7/26/18 7:40,-77.029604,38.898318,27659
CWSVF2MNIVZOB,919397,7/26/18 9:35,7/26/18 9:40,-77.023273,38.899763,27660
TVER3TOB55AV7,517617,7/26/18 8:20,7/26/18 8:25,-77.032819,38.919978,27959
XXJT4GICNCUR6,325943,7/26/18 13:50,7/26/18 13:55,-77.030482,38.888539,29373
XXJT4GICNCUR6,325943,7/26/18 13:55,7/26/18 14:00,-77.02961,38.889875,29374
SK2FWGSCL26SV,882721,7/26/18 13:55,7/26/18 14:00,-77.054852,38.909377,29713
SK2FWGSCL26SV,882721,7/26/18 14:05,7/26/18 14:10,-77.069152,38.915609,29714
SK2FWGSCL26SV,882721,7/26/18 14:10,7/26/18 14:15,-77.071745,38.90582,29715
LMBJ4QYQQ5R5B,852128,7/26/18 13:20,7/26/18 13:25,-77.04569,38.894628,29902
LMBJ4QYQQ5R5B,852128,7/26/18 13:25,7/26/18 13:30,-77.033765,38.891936,29903
LMBJ4QYQQ5R5B,852128,7/26/18 13:45,7/26/18 13:50,-77.037029,38.90238,29904
