date,time
2018-11-07,18:16:18.5
2018-11-07,18:23:18.5
2018-11-07,18:29:18.5
2018-11-07,18:39:19
2018-11-07,18:48:19
2018-11-07,19:00:18.5
2018-11-07,19:06:18
2018-11-07,19:16:21.5
2018-11-07,19:26:18.5
2018-11-07,19:35:19
2018-11-07,19:47:48
2018-11-07,19:52:48.5
2018-11-07,failuntil20:22:19
2018-11-07,20:32:48.5
2018-11-07,20:43:18.5
2018-11-07,20:53:19
2018-11-08,06:20:18.5
2018-11-08,06:30:18.5
2018-11-08,06:38:49
2018-11-08,06h49
2018-11-08,07:00:18
2018-11-08,07:13:18.5
2018-11-08,07h15
2018-11-08,07:24:18
2018-11-08,07:33:18.5
2018-11-08,07:36:18.5
2018-11-08,07:44:18
2018-11-08,07:48:18.5
2018-11-08,07:54:18.5
2018-11-08,07:58:18.5
2018-11-08,08:02:19.5
2018-11-08,08:06:18
2018-11-08,08:11:18
2018-11-08,08:13:18.5
2018-11-08,08:16:18.5
2018-11-08,08:19:18.5
2018-11-08,08:26:18
2018-11-08,08:29:18
2018-11-08,08:33:18.5
2018-11-08,08:34:18
2018-11-08,08:37:18.5
2018-11-08,08h40
2018-11-08,08:46:18
2018-11-08,08h51
2018-11-08,08:56:18.5
2018-11-08,08:59:18
2018-11-08,09:01:18
2018-11-08,09:05:18.5
2018-11-08,09:09:18
2018-11-08,09:14:18.5
2018-11-08,09:19:18.5
2018-11-08,09h23
2018-11-08,09:29:18
2018-11-08,09:36:18
2018-11-08,09:39:18
2018-11-08,09:48:18
2018-11-08,09:49:19
2018-11-08,09:54:18.5
2018-11-08,09:59:18
2018-11-08,10:04:18
2018-11-08,10:10:49
2018-11-08,10:14:18.5
2018-11-08,10:19:48.5
2018-11-08,10:26:18
2018-11-08,10:32:18
2018-11-08,10:39:04
2018-11-08,10:43:48.5
2018-11-08,10h51
2018-11-08,10:56:48
2018-11-08,11:04:48.5
2018-11-08,11h12
2018-11-08,11:17:48
2018-11-08,11h23
2018-11-08,11:28:49
2018-11-08,11:36:19
2018-11-08,11:43:18.5
2018-11-08,11:55:18.5
2018-11-08,11:55:48
2018-11-08,12:00:19
2018-11-08,12:07:18
2018-11-08,12:12:19
2018-11-08,12:19:19
2018-11-08,12:27:19
2018-11-08,12:38:49.5
2018-11-08,12:38:49.5
2018-11-08,12:45:18.5
2018-11-08,12h51
2018-11-08,13:00:19
2018-11-08,13h07
2018-11-08,13:18:18.5
2018-11-08,13:21:49
